category,value
Social Development,42973041
NZ Superannuation,21628878
Jobseeker Support and Emergency Benefit,4135740
Supported Living Payment,2520161
Accommodation Assistance,2448935
Supporting Tangata Whaikaha Maori and Disabled People,2244565
Sole Parent Support,2085360
Student Loans,1603563
Improved Employment and Social Outcomes Support,1177297
Hardship Assistance,756045
Student Allowances,594719
Winter Energy Payment,537508
Disability Assistance,440024
Community Support Services,375658
Recoverable Assistance,372970
Orphans / Unsupported Child\'s Benefit,367553
Childcare Assistance,186766
Housing Support Assistance,152710
Veterans\' Pension,131407
Debt Write Downs,131345
Capital Expenditure,120651
Community Participation Services,116507
Apprentice Support,112970
Services to Support People to Access Accommodation,87955
Historic Claims Resolution,76400
Income Support and Assistance to Seniors,69352
Youth Payment and Young Parent Payment,68156
Investigation of Overpayments and Fradulant Payments and Collection,61118
Data Analytics and Evidence Services,44650
Study Scholarships and Awards,26834
Out of School Care and Recreation Programmes,24189
Partnering for Youth Development,23772
Management of Student Support,23380
Management of Student Loans,23257
Policy Advice,22259
Training Incentive Allowance,20636
Te Pae Tawhiti - Horizon One,20000
COVID-19 Leave Support Scheme,20000
Corporate Support Services,19855
Supporting Equitable Pay for Care and Support Workers,17415
Drivers License Support Employment Assistance,15000
Special Circumstances Assistance,11160
Children and Young People\'s Commission,10824
Administration of Service Cards,7635
Planning Correspondencce and Monitoring,6268
Reimbursement of Income Related Rent Overpayments,6262
Work Assistance,4785
Student Placement Services,4212
Emergency Housing Support Package,3000
Promoting Positive Outcomes for Seniors,2658
Extraordinary Care Fund,2308
Enhancement and Promotion of SuperGold Cards,1710
Social Workers Registration Board,1554
Children and Young People\'s Commission Capital Programme,1300
Disability-Related Legal Expenses,1000
Housing Place-Based Approaches,917
Processing of Veterans\' Pensions,744
Establishment of Ministry of Disabled People,544
Transitional Assistance,500
Investigating and Responding to Alleged Social Work Offending,100
Health,26510904
Delivering Hospital and Specialist Services,12720434
Delivering Primary Community Public and Population Health Services,8158369
Remediation and Resolution of Holidays Act 2003 Historical Claims,1642330
National Pharmaceuticals Purchasing,1311000
Health Capital Envelope,989543
Delivering hauora Maori services,615540
Implementing the COVID-19 Vaccine Strategy,295118
Stewardship of the NZ Health System (Policy Advice and Leadership),237759
New Dunedin Hospital,208000
Standby Credit to Support Health System Liquidity,200000
Monitoring and Protecting Health and Disability Consumer Interests,39551
National Management of Pharmaceuticals,28372
Problem Gambling Services,27027
Residential Care Loans - Payments,20000
Capital Investment in Health New Zealand,10800
International Health Organisations (WHO),2230
Aged Care Commissioner,2023
MoH - Capital Expenditure,1600
Legal Expenses,1208
Revenue,18104976
Kiwisaver: Employee and Employer Contributions,9770000
Family Tax Credit,2284000
Kiwisaver Tax Credit,1093000
Impairment of Debt and Debt Write Offs,931000
Services for Customers,721218
Paid Parental Leave Payments,677000
Initial Fair Value Write Down Relaating to Student Loans,640000
Research Science and Innovation R&D Tax Incentive,535334
In-Work Tax Credits,477000
Child Support Payments,466000
Best Start Tax Credit,339000
Small Business Cashflow Scheme COVID-19,60000
Capital Expenditure,42900
Initial Fair Value Write Down Relaating to Small Business Cashflow Scheme COVID-19,28000
Transformation Programme,14600
Minimum Family Tax Credit,12000
Interest of Misc Accounts,11100
Services to Other Agencies,1824
Kiwisaver Interest,1000
Education,17878996
Primary Education,4160061
Secondary Education,3106088
Early Learning,2653449
School Property Portfolio Management,2652138
Capital Expenditure,2004003
Targeted Student Groups,1444135
Improved Quality Teaching and Learning,419136
School Transport,248240
Support and Resources for Education Providors (Primary and Secondary) and School Risk Management Scheme,226977
Support and Resources for Teachers,184991
Professional Development and Support,140292
Integrated Schools Property,102324
Curriculum Support,93853
Schools Furniture and Equipment,76939
Oversight and Administrations of NZQA,71789
Oversight of the Education System,65671
ERO - Evaluations of the Quality of Education,39458
Schooling Improvement,36441
Scholarships and Awards for Teachers and Trainees,36416
School Managed Network Funding,29250
Support and Resources for Parents and the Community,16467
Scholarships and Awards for Students,13626
Support for Early Learning Providers,12306
ERO - Independent Monitoring and Assurance of the Oranga Tamariki System,11568
Home Schooling Allowances,9447
Supporting Parenting,8974
Contributions to Other Education-related Organisations,6248
Services to Other Agencies,6182
Write Down an Write Offs,1200
ERO - Capital Expenditure,1177
ERO - Establishing the Independent Childresn\'s Monitor,150
Housing and Urban Development,11480779
Kainga Ora Lending Facility,5240000
Public Housing,1761163
Housing Acceleration Fund,1351737
Housing Programme Fair Value Impairment Loss and Inventory Disposal,639284
Transitional Housing,410427
Progressive Home Ownership Fund,297768
Community Group Housing,237985
Housing Infrastructure Fund Loans,215301
Upfront Payments - Increasing Maori Housing Supply,189826
Land for Housing Programme,160000
Tamaki Regeneration Company Ltd - Equity Injection,147000
First Home Grants,145150
Infrastructure Investment to Progress Urban Development,139884
Kainga Ora - Homes and Communities,93392
Managing the Housing and Urban Development Portfolio,73163
Increasing Maori Housing Supply,60393
Upfront Payments - Affordable Housing Fund,50000
Upfront Payments - Maori Infrastructure Projects,49365
Affordable Housing Fund - Capital Funding,33000
Contracted Emergency Housing Accommodation and Services,32180
Land for Housing Operations,27500
Affordable Housing Fund,26353
Upfront Payments - Community Housing Providers,25836
Amortisation of Upfront Payments,20770
Upfront Payments - Progressing the Pipeline of Maori Housing,11823
Local Innovations and Partnerships,9075
Capital Expenditure,6850
Kainga Ora Land Programme,6390
Support Services to Increase Home Ownership,6000
Operating the Land for Housing Programme,4618
Progressing the Pipeline of Maori Housing,4209
Land for Housing Programme - Developers\' Loans Payments,3440
Housing Assistance (lending differences),789
Operating Buying off the Plans Programme,100
Management of Crown Properties held under the Housing Act 1995,8
Transport,10114687
National Land Transport Programme,3191841
National Land Transport Programme Loan,1060000
Rail  Kiwi Rail Capital Injection,1047843
Capital Investment Package - Funding for Crown Assets,1013748
NLTF Borrowing Facility for Short-Term Advances,750000
Rail - Maintenance and Renewal of the Rail Network,530841
Auckland City Rail Link,395233
Mode Shift - Planning Infrastructure Services and Activities,303500
National Land Transport Programme Capital,280512
Cyclone Gabrielle National Land Fund Operating Cost Pressure Funding,275000
Clean Vehicle Discount Rebates,154984
Community Connect Programme (Public Transport),109047
Protection of Transport Sector Agency Core Functions - COVID19,97568
Auckland Light Rail Strategic Land Acquisition,92600
Auckland Light rail - Detailed Planning Phase,70443
Transport Policy Advice,70141
NLTF Programme Additional Crown Funding,60673
Civil Aviation Authority - Capital Injection,60071
Improving Resilience of the Roading Network,55000
Housing Infrastructure Fund Loans,50000
Rail - Grants,42810
Tuawhenua Provincial Growth Fund - Transport Projects,36931
SuperGold Card Enhanced Public Transport Concessions Scheme,36116
Retaining and Recruiting Bus Drivers,32100
Waka Kotahi Regulatory Functions,31350
Rail - NZ Railways Corporation Equity Injection,30338
Search and Rescue and Recreational Boating Safety Activities,29293
Weather Forecasts and Warnings,27202
Capital Investment Package - Operating,24690
Bad Debt Provisions - Land Transport Revenue,18000
Water Search Rescue and Safety Frontline Services,15145
Waka Kotahi Regulatory Loans,14000
Clean Car Standard - Operation,11842
Land Transport Regulatory Services,10873
Health and Safety at Work Activities - Maritime,10814
Maritime Regulatory and Response Services,10499
Accident or Incident Investigation and Reporting,9273
Public Transport Bus Decarbonisation,8965
Clean Vehicle Discount Administration Costs,8000
Rail - KiwiRail Equity Injection,7500
Search and Rescue Activity Coordination,5026
Health and Safety at Work Activities - Civil Aviation,4001
Regional State Highways,4000
Road User Charges Investigation and Enforcement,3779
Civil Aviation and Maritime Security Services,3375
Road User Charges Refunds,3010
Joint Venture Airports - Crown Contribution,1490
NLTF Funding for Cost Pressures and Revenue Shocks - COVID19,1000
Clean Car Standard - Capital,1000
Membership of International Organisations,863
Search and Rescue Training and Coordination,700
Tansport Accident Investigation Commission Capital Injection,500
Ground Based Navigation Aids for Aviation Safety,400
Auckland Light Rail Ltd - Capital injection,302
Capital Expenditure,250
Maritime NZ Capital Expenditure,105
Maritime New Zealand - Capital Injection,100
Finance,9242081
Debt Servicing,5799183
NZ Superannuation Fund - Contributions,1602000
Government Superannuation Fund Unfunded Liability,572552
Refinancing of Kainga Ora - Housing NZ Debt,425187
Greater Christchurch Anchor Projects,203165
Venture Capital Fund,163510
Policy Advice and Financial Services,103637
Participation in Divident Reinvestment Plans by the Mixed Ownership Model Companies,70000
Earthquake Commission - On-Sold Canterbury Properties,47535
Government Superannuation Fund Authority - Crown\'s Share of Expenses,42958
Crown Infrastructure Partners Ltd - Equity Injection,37284
Central Crown Infrastructure Delivery Agency - Operating,25000
Admin of Crown Borrowing,16552
Capital Injection to Airways New Zealand for Ground-Based Navigation Aids,15000
Shovel Ready Project Funding - Crown Infrastructure Partners,15000
Central Crown Infrastructure Delivery Agency - Capital,15000
Independent Infrastructure Advice and Oversight,13875
Christchurch Regeneration Acceleration Facility,13388
Shared Support Services,11224
Management of NZ House London,7621
Capital Expenditure,6035
Management of Anchor Projects by Otakaro Limited,6000
NZ Productivity Commission,5930
Crown Company Monitoring Advice,5681
National Provident Fund Schemes - Liability Under Crown Guarantee,4000
Management of Landcorp Protected Land Agreement,3500
Carrying Value of Future Liabilities,3000
NZ Green Investment Ltd - Equity Injection,2110
Greater Christchurch Regeneration,2100
Tamaki Regeneration Company Ltd - Equity Injection,1900
Management of the NZ Superannuation Fund,728
Admin of Gurantees and Indemnities Given by the Crown,610
Stewardship of Residual Crown Obligations,500
Southern Response Earthquake Services Independent Oversight Committee,225
Government Superannuation Appeals Board,50
Unclaimed Money,30
Unwind of discount Rate - International Financial Institutions,11
Tertiary Education,7022411
Tertiary Tuition and Training,2955312
Tertiary Qualification Delivery,2556498
Fees-Free Payments,318339
Tertiary Education Research and Research-Based Teaching,315000
Foundation and Community Education,303353
Access to and Success in Tertiary Education,95461
Strategic Support for National and Regional Priorities,77418
Administration of and Support for the Tertiary Education and Careers System,69480
Workforce Development Councils,65000
Centres of Research Excellence,49800
Write Down of Loans and Advances to Tertiary Education Institutions,45000
International Education Programmes,32517
Tertiary Sector / Industry Collaboration Projects,27088
Proceeds from Disposal of Crown Assets,21426
Tertiary Scholarships and Awards,20629
Crown Loan to Support the Transformation of Te Pukenga,20000
Support for a Single National Vocational Educational Institute,15000
Stewardship and Oversight of the Tertiary Education System,14489
Support for Wananga,12000
Vocational Education Data System,7850
University-led Innovation,751
Defence,6495199
NZDF Capital Expenditure,1612896
MoD - Defence Capabilities,1341869
NZ Army,1132393
RNZAF,1046183
RNZN,713991
Protection of NZ and Nzers,574544
NZDF Operations,30883
MoD - Ministry Outputs,26050
NZDF Advice to the Government,15690
Support for ECE at Camps and Bases,350
MoD - Capital Expenditure,350
BSI,3735302
Strategic Science Investment Fund,354062
Endeacour Fund,243362
Support the Growth and Development of NZ Firms Sectors and Regions,207670
Research and Development In Year Payments Loans,205125
Energy and Resources Non-Departmental Output Expenses,182698
Accelerating Energy Efficiency and Fuel Switching in Industry,149045
Other Non-Departmental,137340
Commerce and Consumer Affairs Output Expenses,129110
Health Research Fund,117489
Tourism NZ Marketing,111950
Regional Development Infrastructure Reference Group Fund,98903
Policy Advicea and Related Services to Ministers,93464
New Zealand Screen Production Grant,92032
Callaghan Innovation,85868
Grant Scheme for Warm Dry Homes,83871
Research Science and Innovation Non-Departmental Expenses,83796
Marsden Fund,78545
Services and Advice to Support Well-Functioning Financial Markets,69672
MBIE Capital Expenditure,66665
National Science Challenges,64334
Capital Expenditure,62194
Economic Development Output Expenses,60213
Management of IEA Oil Stocks,58757
International Growth Fund,55706
Industry Transformation Programme,55241
Provincial Growth Fund,53818
General Market Regulation (Commerce Commission),53219
Economic Development Non-Departmental Output Expenses (Gaming Future of Work Pacific Business Trust),43187
Communications Output Expenses,43008
Talent and Science Promotion,38518
Write down f loans,36466
Communications Non-Departmental Output Expenses,36064
Services for Geohazards Management,31800
Energy and Resources Output Expenses,30904
Contract Management,29479
Public Electric Vehicle Charging Hubs and Infrastructure,28000
Rural and Regional Connectivity Initiatives,25200
Public Service Property Management,24429
Commerce and Consumer Affairs Non-Departmental Output Expenses,24159
Renewable Energy in Communities and Public and Maori Housing,21958
Regional Development Operational Support,18202
COVID-19 Tourism Response,18000
Regulation of Telecommunications Services,15787
New to R&D Grant,15625
Targeted Business Research and Development Funding,15000
Regional Strategic Partnership Fund,15000
Technology Incubator Programme,14886
Major Events Development Fund,13330
Tourism Facilities,13000
Commerce Commission Litigation Funds,12612
Regulation of Electricity Lines Services,11245
Tourism Regional Events Fund,9405
National Measurement Standards,8986
Implementation of Grant for Warm Dry Homes,8667
Digital Enablement of Small Business,7960
Sector Analysis and Facilitation,6649
Innovation Trailblazer Grant,6250
Research Science and Innovation Output Expenses,6010
Services for Deaf and Hearing and Speech Impaired People,5584
Auckland Pacific Skills Shift Programme,5500
Investment in Infrastructure Projects,5000
R&D Project Grant,5000
Tourism Levy Collection and Fund Management,4600
Retail Crime Subsidy Scheme,3855
2023 FIFA Womens World Cup,3200
Regulation of Gas Pipeline Services,3168
Supporting Decommissioning of Oil Fields,2888
Founder and Startup Support,2717
Review of Commerce Act,1983
Support for Household Access to Efficient Lighting,1300
Regulation of Airport Services,1268
Support New Market Opportunities,1204
Managing Security of Electicity Supply,1200
Small Business Wellbeing Support,1150
Low Emission Transport Fund Freight Decarbonisation Grants,1000
Economic Development Early Stage Capital Markets,750
Environment,3493239
Allocation of NZ Units,2202800
Loss on Sale of NZ Units,500000
Improving NZ\'s Environment,174586
Waste Minimisation,170000
Impairment of Debt Relating to Climate Change Activities,147000
Freshwater Improvement Fund,90530
Managing Climate Change in NZ,49573
Environmental Protection Authority Functions,27999
Climate Emergency Response Fund - Waste Initiatives,24000
Kaipara Moana Remediation,20000
Climate Change Commission - Advisory and Monitoring Function,18433
Waste and Resource Recovery,9792
Emissions Trading Scheme,6837
Strategic Planning Reform,6812
Te Mana o Te Wai,6000
Fresh Start for Water - Rotorua Te Arawa Lakes Programme,5428
Impairment of Debt Relating to Environment Activities,5000
Fresh Start for Water - Waikato River Clean up Fund,4341
Climate Change Chief Executives Board,4132
Contaminated Sites Remediation Fund,4084
National Maori Entity,3446
Community Environment fund,2672
Capital Expenditure,2000
Environmental Training Programmes,1900
Water Science and Economics,1500
Waikato River Co-Governance,910
Promotion of Sustainable Land Management,800
United Nations Environment Programme,723
Environmental Legal Assistance,600
Iwi / Hapu Management Planning,425
Climate Change Development Fund,300
Framework Convention on Climate Change,185
Admin of NZ Units Held on Trust (Crown Forest Licensed Land),177
International Subsciptions,165
Te Pou Tupua (Whanganui River),89
Labour Market,3019179
ACC - Rehabilitation Entitlements and Services,1292828
Immigration Services,538493
ACC - Public Health Acute Services,472995
ACC - Case Management and Supporting Services,325449
Workplace Health and Safety,132363
ACC - Compensation Entitlements,114115
Employment Relations Services,63231
Policy Advice,27820
ACC - Sexual Abuse Assessment and Treatment,13033
Employment Regoinal Skills Leadership Groups,11465
Employment Relations Authority Salaries and Allowances,7621
Capital for WorkSafe NZ,4650
Immigration - Regulation of Immigration Advisors,4007
Employment Sector Analysis and Facilitation,3028
Border Support Services,3000
International Labour Organisation,1855
Support for Fair Pay Agreements and Screen Industry Occupational Bargaining,1494
Health and Safety at Work Levy - Collection Services,869
Equal Employment Opportunities Trust,396
Remuneration Authority Members\' Fees Salaries and Allowances,330
ACC - Regulatory Services,122
New Zealand Industrial Relations Foundation,15
Police,2628416
Investigations and Case Resolution,808008
Primary Response Management,662268
Crime Prevention,537429
Road Safety Programme,437112
Capital Expenditure,101945
Arms Safety and Control,69366
Policy Advice and Ministerial Servicing,10849
Search and Rescue Activities,1329
UN Drug Control Programme,100
Compensation for Confiscated Firearms,10
Corrections,2586918
Prisons (Custodial and Community-Based Sentences),1749437
Capital Expenditure,432400
Rehabilitation Programmes,394770
Policy Advice,10261
Waikeria Corrections and Treatment Facility,50
Foreign Affairs,2210034
International Development Cooperation,1280955
Delivery of NZ Foreign Policy,276657
New Zealand Antarctic Institute,179000
Management of NZ\'s International Development Cooperation,134950
Capital Expenditure,87309
Analysis and Advice to Inform NZ Foreign Policy,82615
Delivery of Diplomatic and Consular Services,62336
Subscriptions to International Organisations,60976
Antarctic Research and Support,35466
Promotion of Asian Skills and Relationships,5500
Disbursements Made and Exemptions from Taxation,2700
Pacific Cooperation Foundation,1400
Consular Loans,100
Consular Loan Expenses,50
Superannuation of Local Staff employed by Overseas Posts,20
Oranga Tamariki,1540238
Investing in Children and Young People,1462218
Capital Expenditure,48600
Crown Response to Abuse in Care Royal Commission,11084
Adoption Services,10900
Connection and Advocacy Service,6336
Independent Advice on Oranga Tamariki,1100
Internal Affairs,1398821
Establishment of Water Services Entities,277757
Civic Information Services,169162
Capital Expenditure,150000
National Archival and Library Services,124252
Water Services Reform: Better Off Support Package,123859
Rates Rebate Scheme,70000
Services Supporting the Executive,65688
Regulatory Services,58022
Sediment and Debris Management Support,41000
Government Digital Services,40224
Community Development and Funding Schemes,30885
Local Government Administration,30254
Support for Statutory and Other Bodies,28365
Fire and Emergency New Zealand - Loans,25000
Local Government Policy and Related Services,23755
Rural Drinking Water Supplies,20000
Supporting Ethnic Communities,19132
Tahuhu - Preserving the Nation\'s Memory,15919
Water Services Reform,14250
Policy and Related Services,13952
Royal Commission into Historical Abuse in State Care etc,11492
Executive Council and Members of the Executive - Salaries and Allowances,11360
Fire and Emergency New Zealand - Public Good Services,10000
Offshore Betting Charges,4300
Chatham Island Wharves - Operational Costs,4139
Classification of Fillms Videos and Publications,3278
Translation Services,2700
Supporting Local Government with Natural Hazard Events,2500
Royal Commission into Historical Abuse in State Care etc - Operating Expenses,2126
Tuwharetoa Maori Trust Board,1500
Miscellaneous Grants - Internal Affairs,1299
Racing Safety Development Fund,990
Former Governors-General - Annuities and Other Payments,608
Former Prime Ministers - Domestic Travel,432
Digital Safety Initiatives for the Pacific,330
Former Prime Ministers - Annuities,291
ABFFS,1110383
Biosecurity: Border and Domestic Biosecurity Risk Management,365247
Development and Implementation of Primary Industries Policy Advice,176220
Agriculture: Programmes Supporting Sustainability,137319
Food Safety: Protecting Consumers ,128082
Fisheries: Managing the Resource Sustainably,87206
Sustainable Food and Fibre Futures,66715
MPI - Capital Expenditure,62799
Sustainable Land Management and Climate Change Research,24789
North Island Weather Events ,18597
Aquaculture Settlements,14268
Global Research Alliance on Agricultural Greenhouse Gases,6476
Agriculture: Integrated Farm Plan Accelerator Fund,4710
Plant Health and Environmental Capability,4342
Support for Walking Access,3595
Subscriptions to International Organisations,3538
Departmental Output Expenses,2083
Agriculture: Rural Veterinarians Bonding Scheme,1650
Agriculture: Farm Advisor Scheme,1347
Fisheries: Provision for Fisheries Debt Write Downs,1000
COVID-19 Assistance for Primary Industries,400
Conservation,903903
Manaement of Natural Heritage,323682
Management of Recreational Opportunities,235758
Jobs for Nature,125945
Conservation with the Community,46616
DOC Capital Expenditure,39607
Protection for Natural and Historic Places,23613
Community Conservation Funds,19438
Policy Advice,17457
Provincial Growth Fund - Conservation Projects,11477
Predator Free New Zealand,10434
Management of Historic Heritage,9758
Support for Maori Land,6284
Natural Heritage Fund Expenses,5581
Other,4910
South Island Landless Natives Act,4495
Nature Heritage Fund Land Purchases,3941
QEII National Trust,3312
Crown Contribution to Regional Pest Management,3241
Hump Ridge Great Walk Project,2913
Purchase and Devlopment of Reserves,1800
Crown Land Acquisitions,1000
Management Services - Natural and Historic Places,972
Pike River Memorial and Museum,921
Search and Rescue Activities,480
Kermadec Ocean Sanctuary,245
Moutoa Gardens,23
Justice,856932
Legal Aid,303578
General Election and Electoral Services,116019
Capital Expenditure,106402
Community Justice Support and Assistance,72968
Public Defence Service,48440
Justice and Emergency Agencies Property and Shared Services,39531
Justice Policy Advice,38957
Administration of Legal Services,34503
Elimination of Family Violence and Sexual Violence,21919
Human Rights Commission,13829
Write Downs of Crown Assets managed by Ministry of Justice,13512
Sector Leadership and Support,13240
Privacy Commissioner,8171
Independent Police Conduct Authority,6742
Criminal Cases Review Commission,5191
Law Commission,4205
Provision of Protective Fiduciary Services (Public Trust),3617
Electoral Commission - Broadcasting,3605
Inspector-General of Intelligence and Security,2053
Tangata Whenua-led initiatives,450
Lands,747190
Location Based Information,127231
LINZ Location Based Information Infrastructure,124348
Property Rights (Survey and Title System),123325
Proceeds from Sale of NZTA Properties,100000
Land Tenure Reform Acquisitions,96114
Crown Land Management,74789
Capital Expenditure,51487
Purchase and Preparation of Assets for Possible Use in Future ToW Settlements,20556
Compliance with and Administration of the Overseas Investment Regime,19162
Hydrographic Surveying,3300
Regional Elevation Data Capture,2100
Crown Acquisitions - Huntly East,1500
Canterbury Earthquake Recovery Land Ownership and Management,1500
Administraton of NZ Geographic Board,783
Bad and Doubtful Debts,645
Crown Purchases - Land Exchanges,350
Maori Development,644234
Commissioning Whanau Ora Outcomes,175052
Delivering Housing Opportunities for Maori,114268
Maori Broadcast and Streamed Services,85259
Advice and Services,81418
Maori Development Fund,69663
Family Tribal and Community Maori Language Revitalisation,28337
Maori Television,23264
Maori Trustee Function,18786
Community and Maori Governance Organisaations,14375
National Maori Language Revitalisation,10914
Overseeing Whanau Ora Commissioning Approach,10486
Social Procurement,7806
Capital Expenditure,4077
Rangatiratanga Grants,480
Admin Expenses for Crown Land,49
Arts Culture and Heritage,447743
Public Media Services,184450
Museum Services,56645
Performing Arts Services,47465
COVID-19 Cultural Sector Response and Recovery,32000
Promotion and Support of the Arts and Film,22090
Management of Historic Places,18677
Heritage and Culture Sector Capital,16758
Regional Culture and Heritage Fund,15000
Heritage Services,14868
Policy Advice Monitoring of Funded Agencies and Ministerial Services,14506
Heritage and Cultural Sector Initiatives,9479
Supporting Commemorations and Anniversaries,6650
Maintenance of War Graves Historic Graves and Memorials,5032
Earthquake-prone Heritage Buildings,2623
Cultural Diplomacy International Programme,850
Protection of Taonga Tuturu,650
Communications Security and Intelligence,401946
Communications Security and Intelligence,401946
Statistics,265906
Official Statistics,191255
2023 Census,44624
Capital Expenditure,17050
Services toOther Agencies,12977
Building and Construction,251515
Temporary Accommodation Services (Civil Emergency),106319
Building Policy Regulation and Advice,58747
Residential Tenancy and Unit Title Services,48062
Occupational Licensing,16367
Residential Earthquake-Prone Building Assistance Scheme,9900
Weathertight Services,5166
Residential Earthquake-Prone Building Support Services,3269
Other Expenses,2859
Insurance Claims Resolution,826
Parliamentary Service,222532
Operations Information and Advisory Services,88055
Party and Member Support,48214
Members\' Salaries and Allowances,22000
Depreciation Expense on Parliamentary Complex,18000
Future Accommodation Strategy,12930
Capital Expenditure,7775
Crown Asset Management,7486
Travel of Members and Others,4800
Accommodation of Members and Travel of Members\' Families,3700
Members Communications,3348
Final and Other Contractual Payments to Staff,3255
Travel of Former MPs,1300
Transitional Costs between Parliaments,1195
Additional Support for Members,300
Support Services to the Speaker,174
Forestry,193278
Growth and Development of the Forestry Sector,172715
Capital Investment in the Crown\'s Forestry Assets,18000
Forestry and Economic Development and Erosion Control - Tairawhiti,2563
Sport and Recreation,163028
High Performance Sport,74542
Sport and Recreation Programmes,71085
Integrity Sport and Recreation Commission,7879
Sports Anti-Doping,4758
Prime Minister\'s Sport Scholarships,4250
Advice and Monitoring of Sport and Recreation Crown Entities,470
Miscellaneous Grants,44
Audit,157282
Audit and Assurance Services,131859
Statutory Auditor Function,20027
Controller and Auditor-General - Capital Expenditure,4297
Remuneration of Auditor General and Deputy Auditor-General,1099
Prime Minister and Cabinet,139586
Advice and Support Services,55545
Emergency Management Leadership and Support,46284
Extreme Weather Events All of Government Response,15702
Extreme Weather Evvents - Regional and Local Support,15000
Capital Expenditure,2960
Centre of Excellence for Preventing and Countering Violent Extremism,2150
Cyber Security,1945
Veterans Affairs,134894
Unwind of Discount Rate - Veterans Entitlements,105000
Policy Advice and Other Services for Veterans,12870
Services Cost - Veterans\' Entitlements,12000
Support for Vietnam Veterans,3100
Development and Maintenance of Service Cemeteries,746
Grant Payments to NGOs in Support of Veterans and their Families,275
Impairment of Debt for Benefits,250
Military Veterans Kaupapa Inquiry Claimant Costs,250
Veteran Trust Loans Write Down,203
Veteran Assistance to Attend Commemorations and Revisit Battlefields,200
Attorney General,127293
Law Officer Functions,125620
Departmental Capital Expenditure,1673
Security Intelligence,107337
Intelligence and Security,107337
Te Arawhiti (Maori - Crown Relations),98851
Treaty Negotiations and Marine and Coastal Area Customary Interests,36768
Post-Settlement Resolution for NZDF Redress at RNZAF Woodbourne,25200
Financial Assistance Toward Determining Customary Interests in the Marine and Coastal Area,12023
Maori-Crown Relations,11825
Claimant Funding,7602
Crown Response to Wakatu Litigation and Related Proceedings,2783
Operations of Ngapuhi Investment Fund,1900
Ancillary Redress,750
Pacific Peoples,83029
Policy Advice and Ministerial Servicing,43428
Skills Training and Employment,18080
Promotions - Business Development,11592
Housing Pacific Families,8357
Study and Training Awards for Business Development,1222
Capital Expenditure,350
Public Service,59757
Leadership of the Public Management System,36400
Remuneration of Chief Executives,18617
Public Service Fale,4000
Capital Expenditure,540
Open Government Partnership,200
Ombudsmen,56854
Investigation and Resolution of Complaints about Government Administration,53765
Capital Expenditure,2583
Remuneration of Ombudsmen,506
Parliamentary Counsel,31891
Drafting of and Access to Legislation,30691
Capital Expenditure,1200
Office of the Clerk,26650
Secretariat Services for the House of Representatives,22887
Capital Expenditure,2550
Inter-Parliamentary Relations,1213
Serious Fraud,17104
Prevention Investigatoin and Prosecution of Serious Fraud Crime,16964
Capital Expenditure,140
Women,15159
Improving the Lives of New Zealand Women,15119
Capital Expenditure,40
Parliamentary Commissioner for the Environment,4416
Reports and Advice,3946
Remuneration of the Parliamentary Commissioner for the Environment,398
Capital Expenditure,72
